id,nom,ylat,xlong,coord_x,coord_y,date_comptage,nb_places,nb_places_disponibles,nb_pr,nb_pr_dispo,nb_pmr,nb_pmr_dispo,nb_voitures_electriques,nb_voitures_electriques_dispo,nb_velo,nb_velo_dispo,nb_2r_el,nb_2r_el_dispo,nb_autopartage,nb_autopartage_dispo,nb_2_rm,nb_2_rm_dispo
17300-P-003,Parking en enclos de l'Encan,46.151382,-1.1498269,379863.5735076,6569699.1510457,2023-11-29 14:30:04.0,399,297,0,0,8,0,0,0,0,0,0,0,0,0,0,0
17300-P-004,Parking en enclos Vieux-Port Ouest,46.1555279,-1.1565183,379372.0687783,6570186.0800783,2023-11-29 14:30:04.0,375,241,0,0,6,0,0,0,0,0,0,0,0,0,0,0
17300-P-007,Parking souterrain de Verdun,46.1625088,-1.1531777,379670.2771008,6570946.6803618,2023-11-29 14:30:00.0,450,103,0,0,12,0,7,0,0,0,0,0,0,0,0,0
17300-P-008,Parking souterrain Vieux-Port Sud,46.154343,-1.149352,379917.443672,6570025.5971762,2023-11-29 14:30:07.0,477,330,0,0,15,0,7,0,80,0,0,0,0,0,24,0
17300-P-009,Parking souterrain de l'Arsenal,46.1596199,-1.1488186,379989.3265882,6570608.6289874,2023-11-29 14:29:48.0,46,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17300-P-010,Parking en enclos Maubec,46.1577984,-1.143707,380372.6277839,6570385.9342695,2023-11-29 14:30:07.0,145,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0
17300-P-011,Aire de camping-car de Port-Neuf,46.1605732,-1.1858739,377139.4208522,6570865.1977914,2023-11-29 14:30:10.0,171,146,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17300-P-012,MiniParc Verdun,46.1627286,-1.1541145,379599.3691142,6570974.8624685,2023-11-29 14:30:02.0,79,0,0,0,3,0,,0,,0,0,0,0,0,,0
17300-P-013,MiniParc Cacaud,46.163482,-1.1470611,380147.2801208,6571029.8161903,2023-11-29 14:29:35.0,72,12,0,0,0,0,,0,,0,0,0,0,0,,0
17300-P-014,Parking Les Salines,46.1551842,-1.138681,380744.7513818,6570075.6824267,2023-11-29 14:30:06.0,1105,1104,0,0,,0,0,0,20,0,0,0,0,0,0,0
